Origin,Treatment,Coral ID,Colony,Cal,Cal day
Flat,Variable,RF13A,13,23.75060689,0.42411798
Flat,Stable,RF13B,13,25.46834552,0.454791884
Flat,Variable,RF13C,13,27.48026529,0.490719023
Flat,Stable,RF13D,13,26.68668113,0.476547877
Flat,Variable,RF14A,14,22.07161365,0.394135958
Flat,Variable,RF14B,14,19.0184356,0.339614921
Flat,Stable,RF14C,14,20.63563999,0.368493571
Flat,Stable,RF14D,14,24.01657175,0.428867353
Flat,Variable,RF15A,15,32.39991021,0.578569825
Flat,Variable,RF15B,15,44.49156154,0.79449217
Flat,Stable,RF15C,15,29.96003735,0.535000667
Flat,Stable,RF15D,15,25.98391158,0.463998421
Flat,Variable,RF16A,16,27.0910361,0.483768502
Flat,Variable,RF16B,16,21.86421044,0.390432329
Flat,Stable,RF16C,16,17.32795087,0.309427694
Flat,Stable,RF16D,16,27.29276408,0.487370787
Flat,Variable,RF17A,17,25.40733228,0.453702362
Flat,Variable,RF17B,17,25.59061152,0.456975206
Flat,Stable,RF17C,17,30.16005034,0.538572328
Flat,Variable,RF17D,17,20.12285995,0.359336785
Flat,Stable,RF18A,18,25.54664036,0.456190007
Flat,Variable,RF18B,18,28.60838206,0.510863965
Flat,Variable,RF18C,18,17.55486482,0.313479729
Flat,Stable,RF18D,18,25.40968613,0.453744395
Flat,Variable,RF19A,19,15.1400965,0.270358866
Flat,Variable,RF19B,19,22.41362483,0.400243301
Flat,Stable,RF19C,19,16.94442266,0.302578976
Flat,Stable,RF19D,19,20.75676678,0.37065655
Flat,Variable,RF20A,20,27.48252637,0.490759399
Flat,Variable,RF20B,20,28.54290149,0.509694669
Flat,Variable,RF20C,20,24.31662747,0.434225491
Flat,Stable,RF20D,20,18.54460998,0.33115375
Flat,Stable,RF22A,22,18.99290993,0.339159106
Flat,Variable,RF22B,22,16.93596263,0.302427904
Flat,Variable,RF22C,22,19.6919234,0.351641489
Flat,Stable,RF22D,22,13.8003055,0.246434027
Flat,Variable,RF23A,23,43.03567584,0.768494211
Flat,Variable,RF23B,23,36.27481012,0.647764466
Flat,Stable,RF23C,23,36.54440824,0.652578719
Flat,Stable,RF23D,23,31.83694018,0.568516789
Flat,Variable,RF24A,24,36.37546934,0.649561952
Flat,Variable,RF24B,24,30.79523001,0.549914822
Flat,Variable,RF24C,24,25.9868626,0.464051118
Flat,Stable,RF24D,24,30.80036902,0.55000659
Flat,Variable,RF25A,25,23.92352086,0.42720573
Flat,Variable,RF25B,25,22.24488254,0.397230045
Flat,Stable,RF25C,25,28.24803009,0.504429109
Flat,Stable,RF25D,25,26.97302235,0.481661113
Slope,Variable,RS11A,11,26.64120315,0.475735771
Slope,Variable,RS11B,11,25.77974425,0.460352576
Slope,Stable,RS11C,11,18.42105263,0.328947368
Slope,Stable,RS11D,11,25.05934365,0.447488279
Slope,Variable,RS12A,12,11.95723602,0.213522072
Slope,Variable,RS12B,12,12.3129768,0.219874586
Slope,Variable,RS12C,12,11.09079727,0.198049951
Slope,Stable,RS12D,12,10.78147066,0.192526262
Slope,Variable,RS13A,13,18.11067475,0.323404906
Slope,Variable,RS13B,13,37.00167681,0.660744229
Slope,Stable,RS13C,13,22.81297544,0.407374561
Slope,Stable,RS13D,13,15.52952921,0.277313022
Slope,Stable,RS14A,14,15.07345765,0.269168887
Slope,Variable,RS14B,14,20.28931751,0.362309241
Slope,Stable,RS14C,14,15.58156024,0.278242147
Slope,Variable,RS14D,14,8.047378368,0.143703185
Slope,Stable,RS15A,15,18.25550748,0.325991205
Slope,Variable,RS15B,15,16.59573582,0.296352425
Slope,Variable,RS15C,15,24.31360794,0.43417157
Slope,Variable,RS15D,15,15.1246327,0.270082727
Slope,Variable,RS1A,1,11.24119763,0.200735672
Slope,Variable,RS1B,1,16.31950637,0.291419757
Slope,Stable,RS1C,1,16.01200648,0.285928687
Slope,Stable,RS1D,1,9.917612535,0.177100224
Slope,Variable,RS2A,2,15.89611639,0.283859221
Slope,Variable,RS2B,2,16.46654678,0.294045478
Slope,Stable,RS2C,2,13.51183967,0.241282851
Slope,Stable,RS2D,2,,
Slope,Variable,RS3A,3,15.54992781,0.277677282
Slope,Stable,RS3B,3,18.88548268,0.337240762
Slope,Stable,RS3C,3,14.53216794,0.259502999
Slope,Stable,RS3D,3,14.43671348,0.257798455
Slope,Variable,RS6A,6,19.56974458,0.349459725
Slope,Variable,RS6B,6,16.30682284,0.291193265
Slope,Stable,RS6C,6,16.76999943,0.299464276
Slope,Stable,RS6D,6,14.99938361,0.267846136
Slope,Variable,RS7A,7,13.86939944,0.247667847
Slope,Variable,RS7B,7,9.684340617,0.172934654
Slope,Stable,RS7C,7,8.879302929,0.158558981
Slope,Stable,RS7D,7,10.15660269,0.181367905
Slope,Variable,RS8A,8,11.30665348,0.201904526
Slope,Variable,RS8B,8,10.59028283,0.189112193
Slope,Stable,RS8C,8,11.08745915,0.197990342
Slope,Variable,RS8D,8,5.148754944,0.091942053
Slope,Variable,RS9A,9,25.61305809,0.457376037
Slope,Stable,RS9B,9,9.822681225,0.175405022
Slope,Variable,RS9C,9,22.4622524,0.40111165
Slope,Stable,RS9D,9,8.763738518,0.156495331
