"","Date","Time","Origin","PAR","Date_Time","X","Treatment"
"1",2021-01-08,"01:30:00","Slope",0,2021-01-08 01:30:00,NA,NA
"2",2021-01-08,"01:30:00","Flat",0,2021-01-08 01:30:00,NA,NA
"3",2021-01-08,"02:00:00","Slope",0,2021-01-08 02:00:00,NA,NA
"4",2021-01-08,"02:00:00","Flat",0,2021-01-08 02:00:00,NA,NA
"5",2021-01-08,"02:30:00","Slope",0,2021-01-08 02:30:00,NA,NA
"6",2021-01-08,"02:30:00","Flat",0,2021-01-08 02:30:00,NA,NA
"7",2021-01-08,"03:00:00","Slope",0,2021-01-08 03:00:00,NA,NA
"8",2021-01-08,"03:00:00","Flat",0,2021-01-08 03:00:00,NA,NA
"9",2021-01-08,"03:30:00","Slope",0,2021-01-08 03:30:00,NA,NA
"10",2021-01-08,"03:30:00","Flat",0,2021-01-08 03:30:00,NA,NA
"11",2021-01-08,"04:00:00","Slope",0,2021-01-08 04:00:00,NA,NA
"12",2021-01-08,"04:00:00","Flat",0,2021-01-08 04:00:00,NA,NA
"13",2021-01-08,"04:30:00","Slope",0,2021-01-08 04:30:00,NA,NA
"14",2021-01-08,"04:30:00","Flat",0,2021-01-08 04:30:00,NA,NA
"15",2021-01-08,"05:00:00","Slope",0,2021-01-08 05:00:00,NA,NA
"16",2021-01-08,"05:00:00","Flat",0,2021-01-08 05:00:00,NA,NA
"17",2021-01-08,"05:00:00","Flat",0.027416667,2021-01-08 05:00:00,NA,NA
"18",2021-01-08,"05:30:00","Slope",5.782,2021-01-08 05:30:00,NA,NA
"19",2021-01-08,"05:30:00","Slope",5.842,2021-01-08 05:30:00,NA,NA
"20",2021-01-08,"05:30:00","Flat",7.567,2021-01-08 05:30:00,NA,NA
"21",2021-01-08,"05:30:00","Flat",8.2915,2021-01-08 05:30:00,NA,NA
"22",2021-01-08,"06:00:00","Slope",44.5745,2021-01-08 06:00:00,NA,NA
"23",2021-01-08,"06:00:00","Slope",46.4185,2021-01-08 06:00:00,NA,NA
"24",2021-01-08,"06:00:00","Flat",55.46391667,2021-01-08 06:00:00,NA,NA
