"","Date","Time","Origin","Temperature","Date_Time","X","Treatment"
"1",2021-01-08,"01:00:00","Slope",26.879,2021-01-08 01:00:00,NA,NA
"2",2021-01-08,"01:00:00","Flat",26.585,2021-01-08 01:00:00,NA,NA
"3",2021-01-08,"01:00:00","Flat",26.977,2021-01-08 01:00:00,NA,NA
"4",2021-01-08,"01:30:00","Slope",26.781,2021-01-08 01:30:00,NA,NA
"5",2021-01-08,"01:30:00","Flat",26.292,2021-01-08 01:30:00,NA,NA
"6",2021-01-08,"01:30:00","Flat",26.683,2021-01-08 01:30:00,NA,NA
"7",2021-01-08,"02:00:00","Slope",26.781,2021-01-08 02:00:00,NA,NA
"8",2021-01-08,"02:00:00","Flat",26.39,2021-01-08 02:00:00,NA,NA
"9",2021-01-08,"02:00:00","Flat",26.683,2021-01-08 02:00:00,NA,NA
"10",2021-01-08,"02:30:00","Slope",26.585,2021-01-08 02:30:00,NA,NA
"11",2021-01-08,"02:30:00","Flat",26.39,2021-01-08 02:30:00,NA,NA
"12",2021-01-08,"02:30:00","Flat",26.683,2021-01-08 02:30:00,NA,NA
"13",2021-01-08,"03:00:00","Slope",26.585,2021-01-08 03:00:00,NA,NA
"14",2021-01-08,"03:00:00","Flat",26.292,2021-01-08 03:00:00,NA,NA
"15",2021-01-08,"03:00:00","Flat",26.683,2021-01-08 03:00:00,NA,NA
"16",2021-01-08,"03:30:00","Slope",26.488,2021-01-08 03:30:00,NA,NA
"17",2021-01-08,"03:30:00","Flat",26.292,2021-01-08 03:30:00,NA,NA
"18",2021-01-08,"03:30:00","Flat",26.683,2021-01-08 03:30:00,NA,NA
"19",2021-01-08,"04:00:00","Slope",26.39,2021-01-08 04:00:00,NA,NA
"20",2021-01-08,"04:00:00","Flat",26.292,2021-01-08 04:00:00,NA,NA
"21",2021-01-08,"04:00:00","Flat",26.683,2021-01-08 04:00:00,NA,NA
"22",2021-01-08,"04:30:00","Slope",26.488,2021-01-08 04:30:00,NA,NA
"23",2021-01-08,"04:30:00","Flat",26.292,2021-01-08 04:30:00,NA,NA
"24",2021-01-08,"04:30:00","Flat",26.683,2021-01-08 04:30:00,NA,NA
"25",2021-01-08,"05:00:00","Slope",26.292,2021-01-08 05:00:00,NA,NA
"26",2021-01-08,"05:00:00","Flat",26.292,2021-01-08 05:00:00,NA,NA
"27",2021-01-08,"05:00:00","Flat",26.683,2021-01-08 05:00:00,NA,NA
"28",2021-01-08,"05:30:00","Slope",26.195,2021-01-08 05:30:00,NA,NA
"29",2021-01-08,"05:30:00","Flat",26.39,2021-01-08 05:30:00,NA,NA
"30",2021-01-08,"05:30:00","Flat",26.683,2021-01-08 05:30:00,NA,NA
"31",2021-01-08,"06:00:00","Slope",26.292,2021-01-08 06:00:00,NA,NA
"32",2021-01-08,"06:00:00","Flat",26.39,2021-01-08 06:00:00,NA,NA
"33",2021-01-08,"06:00:00","Flat",26.781,2021-01-08 06:00:00,NA,NA
"34",2021-01-08,"06:30:00","Slope",26.39,2021-01-08 06:30:00,NA,NA
"35",2021-01-08,"06:30:00","Flat",26.39,2021-01-08 06:30:00,NA,NA
"36",2021-01-08,"06:30:00","Flat",26.683,2021-01-08 06:30:00,NA,NA
"37",2021-01-08,"07:00:00","Slope",26.39,2021-01-08 07:00:00,NA,NA
"38",2021-01-08,"07:00:00","Flat",26.39,2021-01-08 07:00:00,NA,NA
"39",2021-01-08,"07:00:00","Flat",26.683,2021-01-08 07:00:00,NA,NA
"40",2021-01-08,"07:30:00","Slope",26.488,2021-01-08 07:30:00,NA,NA
"41",2021-01-08,"07:30:00","Flat",26.39,2021-01-08 07:30:00,NA,NA
"42",2021-01-08,"07:30:00","Flat",26.781,2021-01-08 07:30:00,NA,NA
"43",2021-01-08,"08:00:00","Slope",26.585,2021-01-08 08:00:00,NA,NA
"44",2021-01-08,"08:00:00","Flat",26.39,2021-01-08 08:00:00,NA,NA
"45",2021-01-08,"08:00:00","Flat",26.781,2021-01-08 08:00:00,NA,NA
"46",2021-01-08,"08:30:00","Slope",26.683,2021-01-08 08:30:00,NA,NA
"47",2021-01-08,"08:30:00","Flat",26.488,2021-01-08 08:30:00,NA,NA
"48",2021-01-08,"08:30:00","Flat",26.879,2021-01-08 08:30:00,NA,NA
"49",2021-01-08,"09:00:00","Slope",26.879,2021-01-08 09:00:00,NA,NA
"50",2021-01-08,"09:00:00","Flat",26.585,2021-01-08 09:00:00,NA,NA
"51",2021-01-08,"09:00:00","Flat",26.977,2021-01-08 09:00:00,NA,NA
"52",2021-01-08,"09:30:00","Slope",27.075,2021-01-08 09:30:00,NA,NA
"53",2021-01-08,"09:30:00","Flat",26.683,2021-01-08 09:30:00,NA,NA
"54",2021-01-08,"09:30:00","Flat",27.075,2021-01-08 09:30:00,NA,NA
"55",2021-01-08,"10:00:00","Slope",27.173,2021-01-08 10:00:00,NA,NA
"56",2021-01-08,"10:00:00","Flat",26.879,2021-01-08 10:00:00,NA,NA
"57",2021-01-08,"10:00:00","Flat",27.272,2021-01-08 10:00:00,NA,NA
"58",2021-01-08,"10:30:00","Slope",27.173,2021-01-08 10:30:00,NA,NA
"59",2021-01-08,"10:30:00","Flat",26.977,2021-01-08 10:30:00,NA,NA
"60",2021-01-08,"10:30:00","Flat",27.37,2021-01-08 10:30:00,NA,NA
"61",2021-01-08,"11:00:00","Slope",27.075,2021-01-08 11:00:00,NA,NA
"62",2021-01-08,"11:00:00","Flat",27.075,2021-01-08 11:00:00,NA,NA
"63",2021-01-08,"11:00:00","Flat",27.468,2021-01-08 11:00:00,NA,NA
"64",2021-01-08,"11:30:00","Slope",27.075,2021-01-08 11:30:00,NA,NA
"65",2021-01-08,"11:30:00","Flat",27.272,2021-01-08 11:30:00,NA,NA
"66",2021-01-08,"11:30:00","Flat",27.665,2021-01-08 11:30:00,NA,NA
"67",2021-01-08,"12:00:00","Slope",26.977,2021-01-08 12:00:00,NA,NA
"68",2021-01-08,"12:00:00","Flat",27.272,2021-01-08 12:00:00,NA,NA
