Origin,Treatment,Coral ID,Colony,Protein (mg/cm2),Million Zoox per cm2,pg Chl a per cm2,pg Chl a per zoox,Mycrosporine- glycine (mg/cm2),Palythine (mg/cm2),Asterina (mg/cm2),Shinorine (mg/cm2),A310/A280,A320/A280,A330/A280,A334/A280,Pocilloporin (mg/cm2),CaCO3 Density (g/ml),Bulk Density (g/ml),Rugosity: SA/Bulk Volume,%internal volume
Flat,Stable,RF13B,13,3.919571749,2.394156088,12.81262909,5.351626471,12.54186725,12.34518199,10.93412932,10.24848569,0.653070529,0.642828885,0.569353628,0.533651317,0.019036904,1.521456146,1.399909727,3.81230217,16.03937875
Flat,Variable,RF13C,13,3.533197875,3.68,14.07087433,3.823607156,5.617596115,5.245033101,4.777854816,4.499508211,0.561759612,0.52450331,0.477785482,0.449950821,0.006283122,1.649491183,1.558400653,7.475957177,13.76882598
Flat,Stable,RF14B,14,2.722714623,0.794320989,12.50178373,15.7389568,12.59763007,12.11673934,10.99795552,10.34852857,0.660817554,0.635592092,0.576905499,0.542839351,0.016698493,1.978894202,1.797304443,5.370179418,17.89086572
Flat,Variable,RF14D,14,2.189772798,1.618529453,4.155513999,2.5674627,3.621195716,3.51901127,3.148560073,2.842635535,0.651810826,0.633417749,0.566736984,0.51167094,0.001728407,1.872971657,1.732428633,4.978885182,15.62558745
Flat,Stable,RF15?,15,1.898832757,2.541962379,13.95239663,5.488828926,7.864727794,7.521730435,6.858658308,6.459227919,0.623948431,0.596736725,0.544131876,0.512443054,0.011594456,1.570996892,1.420978863,5.662860912,20.85585586
Flat,Variable,RF15C,15,2.03785591,3.330288784,10.27718303,3.085973529,8.04406639,7.63085857,6.950832292,6.555718352,0.588558822,0.558325717,0.508570351,0.479661117,0.01142211,1.706411402,1.50316368,5.522834109,22.10252464
Flat,Stable,RF16A,16,2.720229872,2.316479905,9.849778655,4.252045802,7.83339318,7.276296468,6.318272137,5.78421098,0.604178023,0.561209978,0.487318979,0.446127632,0.006335265,1.892499603,1.479534697,3.636472379,27.85635814
Flat,Variable,RF16C,16,1.931867242,2.42291277,9.060016707,3.739307836,5.359782787,4.998626836,4.436481218,4.12959697,0.592849154,0.552901453,0.490722151,0.456777479,0.006991059,1.930546273,1.699119474,5.59339117,20.95637872
Flat,Stable,RF17B,17,2.184631711,1.594005439,6.938607745,4.352938562,10.9584137,10.48494309,9.769299941,9.391366677,0.701226087,0.670928824,0.625135002,0.600951149,0.025487798,1.71217834,1.536819949,4.880553617,19.2824614
Flat,Variable,RF17D,17,1.784709955,0.59842049,5.734587773,9.582873364,4.84645629,4.567843804,4.159277091,3.940134704,0.577710636,0.544499278,0.495797026,0.469674664,0.008653217,1.741238153,1.54247873,5.835770367,21.76434241
Flat,Stable,RF18B,18,1.814759882,1.42573163,7.159467564,5.021609545,5.101167666,4.76403263,4.295671932,4.037061397,0.524763035,0.490081563,0.441900755,0.415297189,0.005480272,1.756224001,1.606525818,5.663742506,18.53217875
Flat,Variable,RF18C,18,2.990516851,1.359979294,8.687122052,6.387686997,6.249525276,5.738722358,5.183560504,4.896535267,0.494761617,0.454322437,0.410371455,0.387648277,0.009039194,2.024431331,1.739907971,3.582020609,19.60508687
