Sample name,Sample ID,Habitat,Date,Time,Tide,Tidal height,Wind (knots),Sample,Dilution,NO2-N (ppm),NO3-N (ppm),NH3-N (ppm),PO4-P (ppm),
20210114RFH1,KB 001,Flat,2021-01-15,9:30,High,3.2,10,KB 001,1,0.726,2.544,1550,31.8,TRUE
20210114RFH2,KB 002,Flat,2021-01-15,9:30,High,3.2,10,KB 002,1,0.982,1.028,1550,12.5,TRUE
20210114RFH3,KB 003,Flat,2021-01-15,9:30,High,3.2,10,KB 003,1,0.953,4.257,1430,13.5,TRUE
20210114RSH1,KB 004,Slope,2021-01-15,10:15,High,3.3,10,KB 004,1,1.51,0.47,1460,10.9,TRUE
20210114RSH2,KB 005,Slope,2021-01-15,10:15,High,3.3,10,KB 005,1,1.22,0,1510,14.6,TRUE
20210114RSH3,KB 006,Slope,2021-01-15,10:15,High,3.3,10,KB 006,1,0.643,0.757,1550,25.4,TRUE
20210114EXH1,KB 007,Experiment,2021-01-15,12:00,High,2.7,10,KB 007,1,3.07,16.83,1560,53.3,TRUE
20210114EXH2,KB 008,Experiment,2021-01-15,12:00,High,2.7,10,KB 008,1,1.75,20.05,1470,21.6,TRUE
20210114EXH3,KB 009,Experiment,2021-01-15,12:00,High,2.7,10,KB 009,1,3.23,16.87,1460,40.1,TRUE
20210114RFL1,KB 010,Flat,2021-01-15,16:30,Low,0.7,10,KB 010,1,2.46,3.5,1370,16.4,TRUE
20210114RFL2,KB 011,Flat,2021-01-15,16:30,Low,0.7,10,KB 011,1,2.48,3.26,1330,12.3,TRUE
20210114RFL3,KB 012,Flat,2021-01-15,16:30,Low,0.7,10,KB 012,1,2.62,2.74,1360,12.5,TRUE
20210114EXL1,KB 013,Experiment,2021-01-15,16:45,Low,0.7,10,KB 013,1,2.54,21.96,1360,22.4,TRUE
20210114EXL2,KB 014,Experiment,2021-01-15,16:45,Low,0.7,10,KB 014,1,2.37,23.43,1350,23.4,TRUE
20210114EXL3,KB 015,Experiment,2021-01-15,16:45,Low,0.7,10,KB 015,1,2.78,20.42,1390,30.9,TRUE
20210114RSL1,KB 016,Slope,2021-01-15,17:00,Low,0.8,10,KB 016,1,1.57,4.49,1470,24.4,TRUE
20210114RSL2,KB 017,Slope,2021-01-15,17:00,Low,0.8,10,KB 017,1,0.704,4.626,1310,22.3,TRUE
20210114RSL3,KB 018,Slope,2021-01-15,17:00,Low,0.8,10,KB 018,1,1.55,4.17,1410,26.2,TRUE
20210121RFL1,KB 019,Flat,2021-01-21,8:15,Low,1.4,25,KB 019,1,1.7,1.28,1360,11.4,TRUE
20210121RFL2,KB 020,Flat,2021-01-21,8:15,Low,1.4,25,KB 020,1,1.02,1.46,1220,9.53,TRUE
20210121RFL3,KB 021,Flat,2021-01-21,8:15,Low,1.4,25,KB 021,1,0.638,1.372,1300,10,TRUE
20210121RSL1,KB 022,Slope,2021-01-21,9:00,Low,1.5,25,KB 022,1,0.841,5.089,1210,9.72,TRUE
20210121RSL2,KB 023,Slope,2021-01-21,9:00,Low,1.5,25,KB 023,1,0.785,3.545,1280,9.17,TRUE
20210121RSL3,KB 024,Slope,2021-01-21,9:00,Low,1.5,25,KB 024,1,0.936,3.234,1230,10.6,TRUE
20210121EXL1,KB 025,Experiment,2021-01-21,9:30,Low,1.5,25,KB 025,1,2.56,13.94,1230,16.4,TRUE
20210121EXL2,KB 026,Experiment,2021-01-21,9:30,Low,1.5,25,KB 026,1,2.66,12.84,1180,10.8,TRUE
20210121EXL3,KB 027,Experiment,2021-01-21,9:30,Low,1.5,25,KB 027,1,2.11,14.19,1120,10.7,TRUE
20210121RFH1,KB 028,Flat,2021-01-21,14:30,High,2.1,25,KB 028,1,1.21,0.24,1240,9.22,TRUE
20210121RFH2,KB 029,Flat,2021-01-21,14:30,High,2.1,25,KB 029,1,1.99,0.74,1260,10.9,TRUE
20210121RFH3,KB 030,Flat,2021-01-21,14:30,High,2.1,25,KB 030,1,1.11,0.99,1110,8.88,TRUE
20210121EXH1,KB 031,Experiment,2021-01-21,14:45,High,2.1,25,KB 031,1,3.09,16.11,1050,9.5,TRUE
20210121EXH2,KB 032,Experiment,2021-01-21,14:45,High,2.1,25,KB 032,1,2.98,15.92,986,11,TRUE
20210121EXH3,KB 033,Experiment,2021-01-21,14:45,High,2.1,25,KB 033,1,2.43,21.17,1150,12.2,TRUE
20210121RSH1,KB 034,Slope,2021-01-21,15:15,High,2.2,25,KB 034,1,1.33,5.81,197,9.99,TRUE
20210121RSH2,KB 035,Slope,2021-01-21,15:15,High,2.2,25,KB 035,1,1.26,5.24,1300,11.8,TRUE
20210121RSH3,KB 036,Slope,2021-01-21,15:15,High,2.2,25,KB 036,1,1.54,5.64,1180,11.4,TRUE
