Origin,Treatment,Coral ID,Colony,Week,% change in SA by day,% change in vol by day
Flat,Variable,RF13A,13,1,1.260504202,6.522169724
Flat,Variable,RF13B,13,1,-0.332225914,-3.137995176
Flat,Stable,RF13C,13,1,0.10989011,-5.274547456
Flat,Stable,RF13D,13,1,2.830188679,9.59478167
Flat,Variable,RF14A,14,1,1.452784504,0.375598628
Flat,Variable,RF14B,14,1,-7.142857143,-7.142857143
Flat,Stable,RF14C,14,1,1.408450704,8.306905776
Flat,Stable,RF14D,14,1,-0.246305419,4.945354666
Flat,Variable,RF15A,15,1,4.098360656,3.716178945
Flat,Variable,RF15B,15,1,1.617250674,2.201749496
Flat,Stable,RF15C,15,1,2.095238095,8.04256511
Flat,Stable,RF15D,15,1,,
Flat,Variable,RF16A,16,1,0.892857143,6.110324769
Flat,Variable,RF16B,16,1,-7.142857143,-7.142857143
Flat,Stable,RF16C,16,1,-2.532467532,-5.451150225
Flat,Stable,RF16D,16,1,2.242524917,13.02702576
Flat,Variable,RF17A,17,1,0.714285714,-3.804236437
Flat,Variable,RF17B,17,1,3.273809524,2.25661411
Flat,Stable,RF17C,17,1,1.73992674,3.377414704
Flat,Stable,RF17D,17,1,0.664451827,1.860581931
Flat,Variable,RF18A,18,1,-7.142857143,-7.142857143
Flat,Variable,RF18B,18,1,1.863354037,1.628674644
Flat,Stable,RF18C,18,1,4.058441558,6.470056779
Flat,Stable,RF18D,18,1,,
Flat,Variable,RF19A,19,1,0.666666667,-0.996929155
Flat,Variable,RF19B,19,1,1.603498542,1.735565724
Flat,Stable,RF19C,19,1,2.895752896,1.02962739
Flat,Stable,RF19D,19,1,2.298850575,-1.866521571
Flat,Variable,RF20A,20,1,-7.142857143,-7.142857143
Flat,Variable,RF20B,20,1,2.01863354,3.925177237
Flat,Stable,RF20C,20,1,1.629072682,-3.65621035
Flat,Stable,RF20D,20,1,16.07142857,3.950777441
Flat,Variable,RF22A,22,1,0.840336134,-2.371061678
Flat,Variable,RF22B,22,1,0.123152709,0.476560546
Flat,Variable,RF22C,22,1,2.832512315,2.199234417
Flat,Stable,RF22D,22,1,1.916376307,0.903361214
Flat,Variable,RF23A,23,1,1.354679803,-1.604173402
Flat,Variable,RF23B,23,1,,
Flat,Stable,RF23C,23,1,2.857142857,-1.057233415
Flat,Stable,RF23D,23,1,2.025586354,-0.004527239
Flat,Variable,RF24A,24,1,2.787456446,0.118072184
Flat,Variable,RF24B,24,1,0.765306122,-0.162918804
Flat,Stable,RF24C,24,1,2.452025586,-2.781617819
Flat,Stable,RF24D,24,1,4.983388704,9.627303538
Flat,Stable,RF25A,25,1,1.127819549,-4.202203662
Flat,Variable,RF25B,25,1,2.197802198,5.549505616
Flat,Stable,RF25C,25,1,2.691511387,-1.079418324
Flat,Stable,RF25D,25,1,0,-4.573255182
Slope,Variable,RS11A,11,1,1.428571429,-1.64325882
Slope,Variable,RS11B,11,1,1.785714286,-1.056275994
Slope,Stable,RS11C,11,1,1.006036217,4.987045339
Slope,Stable,RS11D,11,1,0.850340136,0.756517426
Slope,Variable,RS12A,12,1,0.549450549,0.362025923
Slope,Variable,RS12B,12,1,1.267281106,9.587484614
Slope,Stable,RS12C,12,1,1.045296167,-0.00342219
Slope,Stable,RS12D,12,1,5.513784461,-3.413003452
Slope,Variable,RS13A,13,1,0.892857143,2.791299708
Slope,Variable,RS13B,13,1,-0.255102041,0.846343367
Slope,Stable,RS13C,13,1,-2.613240418,-4.629622068
Slope,Stable,RS13D,13,1,1.331719128,6.301546676
Slope,Variable,RS14A,14,1,1.058201058,-1.306785924
Slope,Variable,RS14B,14,1,1.219512195,2.585988132
Slope,Stable,RS14C,14,1,1.133786848,-0.249792828
Slope,Stable,RS14D,14,1,0,0.00540769
Slope,Variable,RS15A,15,1,1.12244898,-1.222271399
Slope,Variable,RS15B,15,1,0.686813187,-0.372208572
Slope,Stable,RS15C,15,1,1.573849879,-2.681081721
Slope,Stable,RS15D,15,1,1.347708895,0.73703458
Slope,Variable,RS1A,1,1,0.759878419,-3.604447947
Slope,Variable,RS1B,1,1,1.870748299,-1.406270429
Slope,Stable,RS1C,1,1,0.155279503,-1.599721413
Slope,Stable,RS1D,1,1,-7.142857143,-7.142857143
Slope,Variable,RS2A,2,1,0.892857143,-0.895639631
Slope,Variable,RS2B,2,1,1.680672269,-4.695233462
Slope,Stable,RS2C,2,1,2.380952381,7.671244289
Slope,Stable,RS2D,2,1,-7.142857143,-7.142857143
Slope,Variable,RS3A,3,1,0.230414747,-3.478128874
Slope,Variable,RS3B,3,1,0.37593985,0.41513617
Slope,Stable,RS3C,3,1,1.642036125,4.286833951
Slope,Stable,RS3D,3,1,6.932773109,4.051975464
Slope,Variable,RS6A,6,1,-1.020408163,7.600494815
Slope,Variable,RS6B,6,1,1.823708207,-0.802049096
Slope,Stable,RS6C,6,1,1.236263736,1.725544986
Slope,Stable,RS6D,6,1,-0.324675325,-5.558831943
Slope,Variable,RS7A,7,1,-0.140056022,-3.312532215
Slope,Variable,RS7B,7,1,0.892857143,-5.260527071
Slope,Stable,RS7C,7,1,2.806122449,0.161511516
Slope,Stable,RS7D,7,1,0.921658986,9.484306934
Slope,Variable,RS8A,8,1,1.746031746,24.91843316
Slope,Variable,RS8B,8,1,-0.29154519,-1.057020402
Slope,Stable,RS8C,8,1,2.941176471,-2.548106013
Slope,Stable,RS8D,8,1,,
Slope,Variable,RS9A,9,1,-2.558635394,0.554945125
