Origin,Treatment,Coral ID,Colony,Pnet,DR,LEDR,PR,,Coral ID,Million Zoox per cm2
Flat,Variable,RF13A,13,2.14806593,-1.055393217,-0.819067958,2.03532285,,,
Flat,Variable,RF13B,13,1.823039105,-0.771861009,-0.717157082,2.36187485,,RF13B,2.394156088
Flat,Stable,RF13C,13,1.12975288,-0.79361365,-0.647805546,1.423555251,,RF13C,3.68
Flat,Stable,RF13D,13,1.448402156,-0.76124589,-0.71489647,1.902673202,,,
Flat,Variable,RF14A,14,1.6549791,-0.593907486,-0.662603101,2.786594105,,,
Flat,Variable,RF14B,14,1.073742506,-0.859008339,-0.755550947,1.249979142,,RF14B,0.794320989
Flat,Stable,RF14C,14,1.844580109,-0.656518564,-0.655943886,2.809638918,,,
Flat,Stable,RF14D,14,1.571844221,-0.742242088,-0.70450681,2.117697508,,RF14D,1.618529453
Flat,Variable,RF15A,15,2.263656899,-0.648991638,-0.69202031,3.487960036,,RF15?,2.541962379
Flat,Variable,RF15B,15,1.899770152,-0.561313035,-0.607449405,3.384511019,,,
Flat,Stable,RF15C,15,1.451516629,-0.560912094,-0.601921158,2.587779164,,RF15C,3.330288784
Flat,Stable,RF15D,15,2.567755375,-0.792840302,-0.814321142,3.238679173,,,
Flat,Variable,RF16A,16,1.332605034,-0.926588998,-0.843388308,1.438183528,,RF16A,2.316479905
Flat,Variable,RF16B,16,1.77106804,-0.960688305,-0.935399025,1.843540752,,,
Flat,Stable,RF16C,16,1.617733775,-0.773298614,-0.806602363,2.091991043,,RF16C,2.42291277
Flat,Stable,RF16D,16,1.610772794,-0.705013106,-0.527353982,2.284741634,,,
Flat,Variable,RF17A,17,0.948128699,-0.839758897,-0.719239238,1.12904871,,,
Flat,Variable,RF17B,17,1.372212446,-0.557878165,-0.568509936,2.459699145,,RF17B,1.594005439
Flat,Stable,RF17C,17,2.644391404,-1.02750176,-0.931076347,2.573612531,,,
Flat,Stable,RF17D,17,1.771420723,-0.633343175,-0.63958161,2.796936625,,RF17D,0.59842049
Flat,Variable,RF18A,18,2.177739331,-0.75439039,-0.770630313,2.886753808,,,
Flat,Variable,RF18B,18,2.07808705,-0.602999397,-0.695038311,3.446250628,,RF18B,1.42573163
Flat,Stable,RF18C,18,0.894092107,-0.435917053,-0.43824972,2.051060174,,RF18C,1.359979294
Flat,Stable,RF18D,18,1.327318234,-0.830789796,-0.73045996,1.597658326,,,
Flat,Variable,RF19A,19,1.75735268,-0.725701371,-0.715774481,2.421592064,,RF19A,1.676854874
Flat,Variable,RF19B,19,1.659273448,-0.845775167,-0.818566073,1.961837512,,,
Flat,Stable,RF19C,19,1.674147865,-0.758111465,-0.699603479,2.208313609,,RF19C,1.095972434
Flat,Stable,RF19D,19,2.358459771,-0.628638919,-0.717309142,3.751692266,,,
Flat,Variable,RF20A,20,1.3780389,-0.617404397,-0.607689165,2.231987507,,RF20A,2.033066096
Flat,Variable,RF20B,20,1.061454053,-0.975108429,-0.808138456,1.088549767,,,
Flat,Stable,RF20C,20,0.944771472,-0.727706616,-0.756760401,1.298286219,,RF20C,3.322001684
Flat,Stable,RF20D,20,1.516076573,-0.683943445,-0.709508924,2.2166695,,,
Flat,Variable,RF22A,22,1.307443347,-0.595704395,-0.593273357,2.194785462,,RF22A,2.019936365
Flat,Variable,RF22B,22,1.760183704,-0.69629057,-0.659699508,2.527944194,,,
Flat,Stable,RF22C,22,1.284542487,-0.72699959,-0.695311521,1.766909508,,,
Flat,Stable,RF22D,22,1.480395275,-0.651005224,-0.526394037,2.274014433,,RF22D,2.65665898
Flat,Variable,RF23A,23,1.991100807,-0.496085171,-0.585643875,4.013626942,,RF23A,2.41584582
Flat,Variable,RF23B,23,2.502270264,-0.749262413,-0.792851624,3.339644721,,,
Flat,Stable,RF23C,23,2.164225914,-0.511250225,-0.576123864,4.233202859,,,
Flat,Stable,RF23D,23,2.9827215,-0.921395775,-1.037765901,3.237177313,,RF23D,0.843662759
Flat,Variable,RF24A,24,1.311903144,-0.662733614,-0.585376344,1.979533129,,,
Flat,Variable,RF24B,24,1.472631382,-0.712043993,-0.714083811,2.068174715,,,
Flat,Stable,RF24C,24,1.331880076,-0.636611433,-0.569290919,2.092139738,,RF24C,
Flat,Stable,RF24D,24,1.025695235,-0.595931527,-0.61230824,1.7211629,,RF24D,3.142159212
Flat,Variable,RF25A,25,2.737530683,-1.231772611,-1.397866128,2.222431851,,RF25A,1.590054483
Flat,Variable,RF25B,25,1.668324299,-0.602595094,-0.542884876,2.768566017,,,
Flat,Stable,RF25C,25,3.45613288,-0.866676679,-0.843486351,3.987799562,,,
Flat,Stable,RF25D,25,1.596855953,-0.787781326,-0.751353295,2.027029456,,RF25D,1.851777211
Slope,Variable,RS11A,11,1.333063662,-0.993767725,-0.863533222,1.341423783,,,
Slope,Variable,RS11B,11,1.880341979,-0.955373102,-1.034365804,1.968175548,,RS11B,4.765156105
Slope,Stable,RS11C,11,1.169810433,-0.743324606,-0.797984026,1.573754487,,,
Slope,Stable,RS11D,11,1.33901647,-0.923362071,-0.862116554,1.45015321,,RS11D,6.750837712
Slope,Variable,RS12A,12,1.421005053,-0.730028397,-0.75332836,1.946506546,,RS12A,1.559299453
Slope,Variable,RS12B,12,0.88838327,-0.579721986,-0.648841844,1.532429839,,,
Slope,Stable,RS12C,12,1.193174141,-0.653764024,-0.713702615,1.825083816,,RS12C,1.759075902
Slope,Stable,RS12D,12,1.371990292,-0.720661523,-0.631244407,1.903792903,,,
Slope,Variable,RS13A,13,1.145348479,-0.718574718,-0.60522224,1.593917028,,RS13A,4.08747836
Slope,Variable,RS13B,13,1.116994345,-1.012824243,-0.842335988,1.102851114,,,
Slope,Stable,RS13C,13,1.568995388,-0.792758274,-0.752004107,1.979159903,,RS13C,2.984188182
Slope,Stable,RS13D,13,1.324406639,-0.594307642,-0.647623358,2.228486639,,,
Slope,Variable,RS14A,14,2.47321861,-0.665128807,-0.840617544,3.718405492,,,
Slope,Variable,RS14B,14,1.337157598,-0.864266096,-0.792839305,1.547159613,,RS14B,2.90637848
Slope,Stable,RS14C,14,1.600234102,-0.803155717,-0.874753928,1.992433182,,RS14C,1.529759257
Slope,Stable,RS14D,14,1.413331586,-0.639354526,-0.692869171,2.210560071,,,
Slope,Variable,RS15A,15,1.920049971,-0.581440509,-0.724775118,3.302229447,,,
Slope,Variable,RS15B,15,1.807980831,-0.725970153,-0.702940057,2.490434111,,RS15B,4.271814919
Slope,Stable,RS15C,15,,,,,,,
Slope,Stable,RS15D,15,1.197891075,-0.539731808,-0.60180297,2.219419086,,RS15D,2.809428307
Slope,Variable,RS1A,1,1.761162327,-0.683309443,-0.800188992,2.577400833,,,
Slope,Variable,RS1B,1,1.200994944,-0.737053483,-0.706845982,1.62945427,,RS1B,3.048922209
Slope,Stable,RS1C,1,1.444754461,-0.692223451,-0.640818532,2.087121518,,RS1C,2.001093177
Slope,Stable,RS1D,1,1.57316142,-0.634463883,-0.633743078,2.479512958,,,
Slope,Variable,RS2A,2,2.071142298,-0.495702693,-0.674983226,4.178194568,,,
Slope,Variable,RS2B,2,1.640668269,-0.550381213,-0.654054624,2.980967064,,RS2B,5.864193427
Slope,Stable,RS2C,2,1.137665289,-0.614477072,-0.768486831,1.851436516,,RS2C,1.26780986
Slope,Variable,RS3A,3,1.114435398,-0.747682324,-0.687709629,1.490519919,,,
Slope,Variable,RS3B,3,1.520810363,-0.786369579,-0.868709192,1.933963881,,RS3B,1.846271246
Slope,Stable,RS3C,3,2.51182188,-0.8958875,-0.894177366,2.803724666,,,
Slope,Stable,RS3D,3,1.244316866,-0.727085443,-0.753873341,1.711376396,,RS3D,4.765019823
Slope,Variable,RS6A,6,1.689371434,-0.848269925,-0.790357816,1.991549369,,RS6A,2.580152536
Slope,Variable,RS6B,6,1.405462809,-0.762381169,-0.762649693,1.843517215,,,
Slope,Stable,RS6C,6,1.502142819,-0.597324521,-0.714029525,2.514785122,,,
Slope,Stable,RS6D,6,1.79050479,-0.728631605,-0.772282019,2.457352628,,RS6D,1.162128933
