Date,Treatment,Time,Time of day,Sample Name,Peak,pH,Alkalinity_all,2 Best Values,Alkalinity_best,Alk_seacard,Temperature,Salinity
2021-01-22,Variable,12:00,Midday,20210122RF12:00,Yes,8.161,2.322884783,2.322884783,2.322987406,0.002322987,27.813375,35
2021-01-22,Variable,12:00,Midday,20210122RF12:00,Yes,8.143,2.32042197,2.32042197,2.320621118,0.002320621,27.813375,35
2021-01-22,Variable,12:00,Midday,20210122RF12:00,Yes,8.166,2.314158691,,2.31592011,0.00231592,27.813375,35
2021-01-22,Stable,12:00,Midday,20210122RS12:00,Yes,8.174,2.443289004,,2.32700534,0.002327005,28.03625,35
2021-01-22,Stable,12:00,Midday,20210122RS12:00,Yes,8.181,2.384328911,,2.320212555,0.002320213,28.03625,35
2021-01-22,Stable,12:00,Midday,20210122RS12:00,Yes,8.17,2.398765471,,2.319994928,0.002319995,28.03625,35
2021-01-22,Variable,20:00,Night,20210122RF20:00,No,8.135,2.302318397,2.302318397,2.303116017,0.002303116,27.2225,35
2021-01-22,Variable,20:00,Night,20210122RF20:00,No,8.136,2.304718176,,2.302352524,0.002302353,27.2225,35
2021-01-22,Stable,20:00,Night,20210122RF20:00,No,8.16,2.378542502,,2.303207114,0.002303207,27.2225,35
2021-01-22,Stable,20:00,Night,20210122RS20:00,No,8.147,2.391844821,2.391844821,2.391628933,0.002391629,27.28585714,35
2021-01-22,Stable,20:00,Night,20210122RS20:00,No,8.154,2.309019452,,2.307848752,0.002307849,27.28585714,35
2021-01-22,Stable,20:00,Night,20210122RS20:00,No,8.16,2.378542502,,2.305608021,0.002305608,27.28585714,35
2021-01-28,Variable,12:00,Midday,20210128RF12:00,Yes,7.924,2.282295333,2.282295333,2.282404179,0.002282404,27.3306,35
2021-01-28,Variable,12:00,Midday,20210128RF12:00,Yes,7.877,2.29082802,2.29082802,2.292251865,0.002292252,27.3306,35
2021-01-28,Variable,12:00,Midday,20210128RF12:00,Yes,7.885,2.291692625,2.291692625,2.29073522,0.002290735,27.3306,35
2021-01-28,Stable,12:00,Midday,20210128RS12:00,Yes,8.178,2.283243049,,2.280242402,0.002280242,27.222625,35
2021-01-28,Stable,12:00,Midday,20210128RS12:00,Yes,8.176,2.282916374,,2.319545485,0.002319545,27.222625,35
2021-01-28,Stable,12:00,Midday,20210128RS12:00,Yes,8.181,2.276103191,2.276103191,2.275730289,0.00227573,27.222625,35
2021-01-28,Variable,20:00,Night,20210128RF20:00,No,8.148,2.251320117,2.251320117,2.251990421,0.00225199,27.1142,35
2021-01-28,Variable,20:00,Night,20210128RF20:00,No,8.139,2.248051786,2.248051786,2.248586804,0.002248587,27.1142,35
2021-01-28,Variable,20:00,Night,20210128RF20:00,No,8.138,2.334731788,,2.254647422,0.002254647,27.1142,35
2021-01-28,Stable,20:00,Night,20210128RS20:00,No,8.131,2.253135693,,2.256016041,0.002256016,26.98925,35
2021-01-28,Stable,20:00,Night,20210128RS20:00,No,8.135,2.251233333,2.251233333,2.250898599,0.002250899,26.98925,35
2021-01-28,Stable,20:00,Night,20210128RS20:00,No,8.141,2.250178189,,2.252263223,0.002252263,26.98925,35
2021-02-05,Variable,13:00,Midday,20210205RF13:00,Yes,7.829,2.271736836,2.271736836,2.271701913,0.002271702,27.93625,35
2021-02-05,Variable,13:00,Midday,20210205RF13:00,Yes,7.845,2.278580189,2.278580189,2.277462981,0.002277463,27.93625,35
2021-02-05,Variable,13:00,Midday,20210205RF13:00,Yes,7.829,2.27248619,2.27248619,2.272688763,0.002272689,27.93625,35
2021-02-05,Stable,13:00,Midday,20210205RS13:00,Yes,8.116,2.26336927,2.26336927,2.263459747,0.00226346,27.79185714,35
2021-02-05,Stable,13:00,Midday,20210205RS13:00,Yes,8.113,2.263281381,,2.261644442,0.002261644,27.79185714,35
2021-02-05,Stable,13:00,Midday,20210205RS13:00,Yes,8.113,2.265372276,2.265372276,2.264687642,0.002264688,27.79185714,35
2021-02-05,Variable,20:00,Night,20210205RF20:00,No,8.097,2.23608144,2.23608144,2.237536393,0.002237536,27.4435,35
2021-02-05,Variable,20:00,Night,20210205RF20:00,No,8.097,2.240530462,,2.237124796,0.002237125,27.4435,35
2021-02-05,Variable,20:00,Night,20210205RF20:00,No,8.103,2.236570948,2.236570948,2.236734328,0.002236734,27.4435,35
2021-02-05,Stable,20:00,Night,20210205RS20:00,No,8.116,2.238,2.238,2.2381,0.0022381,27.2715,35
2021-02-05,Stable,20:00,Night,20210205RS20:00,No,8.138,2.2372,,2.2369,0.0022369,27.2715,35
2021-02-05,Stable,20:00,Night,20210205RS20:00,No,8.131,2.2313,2.2313,2.2314,0.0022314,27.2715,35
2021-02-12,Variable,13:00,Midday,20210212RF13:00,No,8.056,2.264348812,,2.265969459,0.002265969,27.6062,35
2021-02-12,Variable,13:00,Midday,20210212RF13:00,No,8.053,2.264339272,,2.260342537,0.002260343,27.6062,35
2021-02-12,Variable,13:00,Midday,20210212RF13:00,No,8.054,2.262003033,,2.259786894,0.002259787,27.6062,35
2021-02-12,Stable,13:00,Midday,20210212RS13:00,No,8.169,2.266053001,2.266053001,2.26580119,0.002265801,27.369875,35
2021-02-12,Stable,13:00,Midday,20210212RS13:00,No,8.162,2.261697434,,2.257867233,0.002257867,27.369875,35
2021-02-12,Stable,13:00,Midday,20210212RS13:00,No,8.054,2.262003033,2.262003033,2.262133225,0.002262133,27.369875,35
2021-02-12,Variable,1:00,Night,20210212RF01:00,Yes,7.807,2.236630137,2.236630137,2.236879687,0.00223688,27.25533333,35
2021-02-12,Variable,1:00,Night,20210212RF01:00,Yes,7.863,2.235484872,2.235484872,2.235592968,0.002235593,27.25533333,35
2021-02-12,Variable,1:00,Night,20210212RF01:00,Yes,8.098,2.227731531,2.227731531,2.228127758,0.002228128,27.25533333,35
2021-02-12,Stable,1:00,Night,20210212RS01:00,Yes,7.817,2.24581297,2.24581297,2.245855678,0.002245856,26.91575,35
2021-02-12,Stable,1:00,Night,20210212RS01:00,Yes,8.111,2.233061348,,2.23419994,0.0022342,26.91575,35
2021-02-12,Stable,1:00,Night,20210212RS01:00,Yes,8.101,2.394719753,,2.231229402,0.002231229,26.91575,35
2021-02-19,Variable,13:00,Midday,20210219RF13:00,No,8.186,2.298337364,,2.296240282,0.00229624,27.5274,35
2021-02-19,Variable,13:00,Midday,20210219RF13:00,No,8.22,2.297521593,2.297521593,2.296807359,0.002296807,27.5274,35
2021-02-19,Variable,13:00,Midday,20210219RF13:00,No,8.226,2.298990909,2.298990909,2.299489942,0.00229949,27.5274,35
2021-02-19,Stable,13:00,Midday,20210219RS13:00,No,8.156,2.294961239,2.294961239,2.295655448,0.002295655,27.272,35
