"","Coral.ID","Origin","Colony","Treatment","Time","Cell.type","Confidence","pHi","Image.x","Channel.x","Measurement.x","Area.x","Mean.x","Min.x","Max.x","Normalized.x","Average.x","Ratio..g.r..x","Image.y","Colony.ID","Channel.y","Measurement.y","Area.y","Mean.y","Min.y","Max.y","Normalized.y","Average.y","Ratio..g.r..y"
"1","RF13A","Flat","13","Variable","0","Coral","0",6.357505897,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_04_30","g",19,14.739,0.574,0,6,0.567,0.484,"1.338865837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","RF13A","Flat","13","Variable","0","Coral","0",6.50779053,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_02_19","g",7,17.199,2.165,0,14,2.157,1.6325,"1.29102412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","RF13A","Flat","13","Variable","0","Coral","0",6.716204867,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_03_48","g",1,27.233,1.358,0,12,1.351,1.518,"1.203806503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","RF13A","Flat","13","Variable","0","Coral","0",6.854060689,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_04_30","g",13,24.259,1.137,0,8,1.128,1.291,"1.13245614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","RF13A","Flat","13","Variable","0","Coral","0",6.994239104,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_03_48","g",7,5.951,0.767,0,6,0.759,0.9635,"1.05013624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","RF13A","Flat","13","Variable","0","Coral","0",7.001582227,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_05_44","g",7,7.003,2.061,0,11,2.051,3.2675,"1.0456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","RF13A","Flat","13","Variable","0","Coral","0",8.138988926,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_03_12","g",1,3.218,0.104,0,2,0.096,0.1145,"0.45526839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","RF13A","Flat","13","Variable","0","Coral","3",8.735459362,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_05_44","g",1,24.603,0.429,0,6,0.416,0.4515,"0.366031617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","RF13A","Flat","13","Variable","0","Symbiocyte","0",6.944922179,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_04_30","g",7,5.697,0.765,0,7,0.757,0.5935,"1.080072793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","RF13A","Flat","13","Variable","0","Symbiocyte","0",7.002657066,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_02_19","g",1,13.214,2.223,0,13,2.215,1.872,"1.044934413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","RF13A","Flat","13","Variable","0","Symbiocyte","0",7.129642771,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_01_01","g",1,6.998,1.583,0,9,1.574,1.6845,"0.963948498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","RF13A","Flat","13","Variable","0","Symbiocyte","0",7.366629642,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_00_17","g",1,19.733,0.791,0,6,0.783,1.02,"0.80888184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","RF13A","Flat","13","Variable","0","Symbiocyte","0",7.767818882,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__13_04_30","g",1,11.612,1.188,0,9,1.179,0.8735,"0.58486776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","RF13A","Flat","13","Variable","0","Symbiocyte","0",8.053088253,"pHchallenge_RF13A_t0_2021-03-30_2021_03_30__12_59_01","g",1,2.63,0.55,0,4,0.543,0.5295,"0.47875226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","RF13A","Flat","13","Variable","1","Coral","0",6.685650329,"pHchallenge_RF13A_t1_2021-03-30_2021_03_30__13_21_48","g",1,15.069,2.839,0,10,2.824,3.124,"1.218171183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","RF13A","Flat","13","Variable","1","Coral","0",6.8182593,"pHchallenge_RF13A_t1_2021-03-30_2021_03_30__13_21_48","g",19,4.578,3.665,0,11,3.649,2.85,"1.151980598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","RF13A","Flat","13","Variable","1","Coral","0",6.950247551,"pHchallenge_RF13A_t1_2021-03-30_2021_03_30__13_21_48","g",13,15.853,5.423,0,17,5.407,5.7425,"1.076887014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","RF13A","Flat","13","Variable","1","Coral","0",7.241009494,"pHchallenge_RF13A_t1_2021-03-30_2021_03_30__13_21_48","g",7,6.62,3.82,0,13,3.804,3.633,"0.890768665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","RF13A","Flat","13","Variable","1","Coral","0",7.660247951,"pHchallenge_RF13A_t1_2021-03-30_2021_03_30__13_10_23","g",13,16.413,4.634,0,12,4.611,4.443,"0.636989247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","RF13A","Flat","13","Variable","1","Symbiocyte","0",6.285616209,"pHchallenge_RF13A_t1_2021-03-30_2021_03_30__13_10_23","g",1,6.211,0.314,0,3,0.287,0.482,"1.357746479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","RF13A","Flat","13","Variable","1","Symbiocyte","0",6.793473289,"pHchallenge_RF13A_t1_2021-03-30_2021_03_30__13_14_06","g",1,2.893,1.012,0,6,0.993,1.115,"1.165099269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","RF13A","Flat","13","Variable","1","Symbiocyte","0",6.97777954,"pHchallenge_RF13A_t1_2021-03-30_2021_03_30__13_10_23","g",7,3.88,1.579,0,7,1.546,1.549,"1.060232717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
